Name,Variety_Code,Crop_Type,Days_to_Maturity,Days_to_Transplant,Direct_Sow,Succession_Interval,Description
"F1 Sunbor",VBO12,Spinach,60,21,No,21,"F1 Sunbor"
"Dwarf Green Curled",VBO20,Spinach,60,21,No,21,"Dwarf Green Curled               with a medium green colour. Wide        with a purple tinge early in the"
"F1 Yurok",VBO36,Spinach,60,21,No,21,"F1 Yurok"
"F1 Redbor",VBO10,Kale,60,21,No,21,"F1 Redbor (not shown)          uniform and compact plants,"
"F1 Eden",VBO16,Spinach,60,21,No,21,"F1 Eden NEW                          £5.25    £8.40      £16.80"
Kapral,VBO75,Spinach,60,21,No,21,"Kapral                   YP      A hybrid green curly kale, with            500sd 1,000sd 2,500sd"
"F1 Redbor",VOG107,Kale,60,21,No,21,"F1 Redbor"
Scarlet,VBO80,Spinach,60,21,No,21,"Scarlet (not shown)"
Kadet,VBO70,Spinach,60,21,No,21,"Kadet (not shown)                 produces tall plants, typically up"
"Black Magic",VBO38,Kale,60,21,No,21,"Black Magic"
"Emerald Ice",VBO60,Spinach,60,21,No,21,"Emerald Ice                      VBO48 Red Ruble                           £18.90 £43.75         £81.00"
"Black Tuscany",VBO40,Spinach,60,21,No,21,"Black Tuscany"
"Summer Purple",VBR035,Spinach,60,21,No,21,"Summer Purple"
"White Eye",VBR032,Spinach,60,21,No,21,"White Eye                                                        Summer cropping variety, from"
"Cardinal Re-Intro Excellent",VBR034,Spinach,60,21,No,21,"Cardinal Re-Intro Excellent colour and well formed"
"Early Purple",VBR010,Spinach,60,21,No,21,"Early Purple"
Rudolph,VBR016,Spinach,60,21,No,21,"Rudolph                           £18.95 £35.10        £65.00"
"F1 Santee",VBR008,Spinach,60,21,No,21,"F1 Santee"
"F1 Claret",VBR005,Spinach,60,21,No,21,"F1 Claret"
"F1 Burbank",VBR003,Spinach,60,21,No,21,"F1 Burbank                       £4.30      £6.90     £11.00"
"F1 Santee",VOG116,Spinach,60,21,No,21,"F1 Santee"
"F1 Red Fire",VBR006,Spinach,60,21,No,21,"F1 Red Fire"
"Purple Heart",VBR028,Spinach,60,21,No,21,"Purple Heart NEW"
"F1 Purple Rain",VBR022,Spinach,60,21,No,21,"F1 Purple Rain"
"F1 Mendocino",VBR014,Spinach,60,21,No,21,"F1 Mendocino                   and summer varieties. The plants      autumn. Good heat tolerance."
"F1 Nautic",VOG112,Spinach,60,21,No,21,"F1 Nautic                                                    VBR068 F1 Brest (not shown)"
"F1 Maximus",VBR060,Spinach,60,21,No,21,"F1 Maximus                                                     £31.50 £50.35           £80.50                                       £30.80 £49.25 £98.45"
"F1 Bosworth",VBR148,Spinach,60,21,No,21,"F1 Bosworth                                                            Brel"
Shows,,Spinach,60,21,No,21,"harvest period. Shows tolerance of                                high yields. Well spaced buttons"
"F1 Abacus",VBR058,Spinach,60,21,No,21,"F1 Abacus                            ring spot, powdery mildew and white                               with sweet flavour. Suits loose or"
"F1 Brel",VBR090,Spinach,60,21,No,21,"F1 Brel NEW"
"F1 Crispus",VBR062,Spinach,60,21,No,21,"F1 Crispus                                                                                                                                                                   fertile soils."
"F1 Brigitte",VBR064,Spinach,60,21,No,21,"F1 Brigitte"
"F1 Trafalgar",VBR110,Spinach,60,21,No,21,"F1 Trafalgar"
"F1 Dagan",VBR070,Spinach,60,21,No,21,"F1 Dagan                                                   be used on low or high fertility                                      (not shown)"
organic,VOG112,"Brussels Sprouts",60,21,No,21,"organic option"
"F1 Churchill",VBR056,"Brussels Sprouts",60,21,No,21,"F1 Churchill                          Brigitte VBR064"
New,VBR090,"Brussels Sprouts",60,21,No,21,New
New,VBR144,"Brussels Sprouts",60,21,No,21,New
"F1 Ruby Crunch",VBR144,Cabbage,60,21,No,21,"F1 Ruby Crunch NEW gardeners. 200-400 seeds per"
"F1 Duncan",VCA050,Cabbage,60,21,No,21,"F1 Duncan"
"F1 Doric",VBR135,Cabbage,60,21,No,21,"F1 Doric                     picked.    Good holding ability.    transplanted, 1.25-2.5 kilos per            quality, uniformity and colour."
"Bedford Darkmar",VBR160,Cabbage,60,21,No,21,"Bedford Darkmar 21"
"F1 Doric",VOG114,Cabbage,60,21,No,21,"F1 Doric                     is well suited to plant sales, less"
"F1 Winterjewel",VCA010,Cabbage,60,21,No,21,"F1 Winterjewel"
"F1 Brechin",VBR142,Cabbage,60,21,No,21,"F1 Brechin                     £13.90 £32.10        £59.40           An excellent hybrid that is ideal for"
"F1 Verve",VCA022,Cabbage,60,21,No,21,"F1 Verve NEW"
"Evesham Special",VBR180,Cabbage,60,21,No,21,"Evesham Special                  Very compact and slow to heart. Best    A vigorous all year round greens"
"Red Ball",VBR175,Cabbage,60,21,No,21,"Red Ball (not shown)                                                        £19.55 £39.10 £125.00"
"F1 Tantour",VCA012,Cabbage,60,21,No,21,"F1 Tantour"
"Kalettes Garden",VBR190,Cabbage,60,21,No,21,"Kalettes Garden                  A well shaped hybrid suitable for"
"F1 Summerjewel",VCA020,Cabbage,60,21,No,21,"F1 Summerjewel"
"Durham Early",VCA260,Cabbage,60,21,No,21,"Durham Early"
"Wheelers Imperial",VCA290,Cabbage,60,21,No,21,"Wheelers Imperial"
"F1 Regency",VCA006,Cabbage,60,21,No,21,"F1 Regency"
Greyhound,VCA170,Cabbage,60,21,No,21,Greyhound
"F1 Caraflex",VCA032,Cabbage,60,21,No,21,"F1 Caraflex                                                and a broad base, suitable for                                                                                                   VCA105 F1 Sunta                 YP"
Kalibos,VCA245,Cabbage,60,21,No,21,"Kalibos                                             Strong bolting resistance. Suited"
"F1 Caraflex",VOG132,Cabbage,60,21,No,21,"F1 Caraflex                                                                                                                      (leaves do not hold colour or                                     2,500sd 10,000sd"
New,VCA050,Cabbage,60,21,No,21,"New                                                                                                                     Early maturing, round, green"
"F1 Constable",VCA026,Cabbage,60,21,No,21,"F1 Constable                      Kalibro F1 VCA045"
organic,VOG124,Cabbage,60,21,No,21,"organic option"
Stonehead,,Cabbage,60,21,No,21,Stonehead
"F1 Kalibro",VCA045,Cabbage,60,21,No,21,"F1 Kalibro                                                                                                                       VCA166 F1 Kilastor"
"F1 Stonehead",VCA100,Cabbage,60,21,No,21,"F1 Stonehead              YP"
"F1 Drago",VOG124,Cabbage,60,21,No,21,"F1 Drago                                                     Also resistant to White Blister."
"Golden Acre",VCA160,Cabbage,60,21,No,21,"Golden Acre              YP                                                                                 £22.00     £35.20"
"F1 Cabbice",VCA142,Cabbage,60,21,No,21,"F1 Cabbice                                                 VCA128 F1 Attraction"
"F1 Mozart",VCA048,Cabbage,60,21,No,21,"F1 Mozart                        Maturing after approximately 90-                                  An early white cabbage variety with"
"F1 Storka",VCA132,Cabbage,60,21,No,21,"F1 Storka"
"F1 Rovite",VCA074,Cabbage,60,21,No,21,"F1 Rovite              YP"
"F1 Romanov",VCA072,Cabbage,60,21,No,21,"F1 Romanov NEW                                              market and short term storage.                                        VOG127 F1 Subaro"
"F1 Guard",VCA130,Cabbage,60,21,No,21,"F1 Guard                        red heads. Good colour when small"
"Red Drumhead",VCA200,Cabbage,60,21,No,21,"Red Drumhead"
"F1 Lodero",VCA078,Cabbage,60,21,No,21,"F1 Lodero"
"F1 Rodima",VCA075,Cabbage,60,21,No,21,"F1 Rodima"
"Red Drumhead",VOG121,Cabbage,60,21,No,21,"Red Drumhead                                                days from transplant. Suitable for                                   short internal stalk. Very good flavour"
"F1 Impala",VOG125,Cabbage,60,21,No,21,"F1 Impala"
New,VCA072,Cabbage,60,21,No,21,New
organic,VOG127,Cabbage,60,21,No,21,"organic option"
organic,VOG134,Cabbage,60,21,No,21,"organic option"
"F1 Green Rich",VCA137,Cabbage,60,21,No,21,"F1 Green Rich                    Winter Cabbage"
"F1 Cordesa",VCA126,Cabbage,60,21,No,21,"F1 Cordesa"
"F1 Stanton",VCA122,Cabbage,60,21,No,21,"F1 Stanton"
"F1 Cantasa",VOG134,Cabbage,60,21,No,21,"F1 Cantasa                     Produces compact, dark green,"
"F1 Capriccio",VCA035,Cabbage,60,21,No,21,"F1 Capriccio                     flavour. Good standing ability for      stems and good standing ability.      standing ability. Typical maturity"
Ormskirk,VCA300,Cabbage,60,21,No,21,"Ormskirk                  YP     Cabbage (Winter)                      organic seed"
"F1 Stanton",VOG129,Cabbage,60,21,No,21,"F1 Stanton"
Glory,VCA155,Cabbage,60,21,No,21,"Glory of Enkhuizen"
Ormskirk,VOG123,Cabbage,60,21,No,21,"Ormskirk                           Deadon"
"F1 Serpentine",VCA110,Cabbage,60,21,No,21,"F1 Serpentine                      £35.00 £64.80 £120.00"
"F1 Tundra",VCA115,Cabbage,60,21,No,21,"F1 Tundra"
"F1 Deadon",VCA112,Cabbage,60,21,No,21,"F1 Deadon                      standing ability, dense heads,"
"F1 Wirosa",VCA095,Cabbage,60,21,No,21,"F1 Wirosa                                                                     £31.30 £62.50"
"F1 Deadon",VOG128,Cabbage,60,21,No,21,"F1 Deadon"
